SE;MG;TIMOTEO;SUPERGASBRAS ENERGIA LTDA.; 19.791.896/0140-71;RODOVIA BR-381;S/N.º;KM 195;NUCLEO INDUSTRIAL;35180-001;GLP;01/08/2022;110;;R$ / 13 kg;SUPERGASBRAS ENERGIA
SE;SP;SAO VICENTE;CONSIGAZ DISTRIBUIDORA DE GÁS LTDA.; 01.597.589/0003-81;RUA MANOEL DE ABREU;790;QUADRA 108;CIDADE NAUTICA;11355-400;GLP;01/08/2022;106,99;;R$ / 13 kg;CONSIGAZ
N;AM;ITACOATIARA;MARCOS ANTONIO DA SILVA CABRAL; 03.019.535/0005-26;RUA BEIJA-FLOR;2501;;SÃO FRANCISCO;69100-000;GLP;01/08/2022;135;;R$ / 13 kg;FOGAS
N;AM;ITACOATIARA;EMAQUISON DOS SANTOS FERREIRA; 04.280.081/0001-81;AVENIDA TORQUATO TAPAJOS;1887;;PEDREIRAS;69100-000;GLP;01/08/2022;130;;R$ / 13 kg;FOGAS
SE;MG;JOAO PINHEIRO;SAYONARA COMERCIO DE PETROLEO LTDA; 23.761.448/0001-23;RODOVIA MARGENS RODOVIA BR 040 KM 143;SN;;CENTRO;38770-000;GLP;01/08/2022;130;;R$ / 13 kg;BRANCA
CO;MS;NOVA ANDRADINA;AUTO POSTO SANTA CLARA LTDA; 04.354.710/0001-70;AVENIDA ANTONIO JOAQUIM DE MOURA ANDRADE;2551;;CENTRO;79750-000;GLP;01/08/2022;118;;R$ / 13 kg;BRANCA
N;PA;BELEM;AUTO POSTO GK EIRELI; 07.909.407/0001-85;AVENIDA DUQUE DE CAXIAS;1169;;MARCO;66093-400;GLP;01/08/2022;140;;R$ / 13 kg;NACIONAL GÁS BUTANO
N;PA;BELEM;GP PETROLEO COMERCIO DE COMBUSTIVEIS LTDA; 06.945.995/0002-20;AVENIDA GENERALISSIMO DEODORO;306;;UMARIZAL;66055-240;GLP;01/08/2022;123;;R$ / 13 kg;SUPERGASBRAS ENERGIA
N;PA;BELEM;IRMAOS TEIXEIRA LTDA; 04.976.718/0003-30;AVENIDA PEDRO ALVARES CABRAL;3800;;SACRAMENTA;66120-620;GLP;01/08/2022;116,99;;R$ / 13 kg;BAHIANA
N;PA;BELEM;POSTO ALIANCA EIRELI; 14.685.994/0001-31;RODOVIA ARTHUR BERNARDES;151;ESQ PEDRO A CABRAL;SACRAMENTA;66825-000;GLP;01/08/2022;114,99;;R$ / 13 kg;SUPERGASBRAS ENERGIA
N;PA;BELEM;AUTO POSTO SENADOR LTDA; 05.319.538/0001-87;AVENIDA SENADOR LEMOS;3606;;SACRAMENTA;66630-505;GLP;01/08/2022;118;;R$ / 13 kg;NACIONAL GÁS BUTANO
N;PA;BELEM;IRMAOS TEIXEIRA LTDA; 04.976.718/0008-45;TRAVESSA D. ROMUALDO COELHO;301;;UMARIZAL;66630-505;GLP;01/08/2022;116,99;;R$ / 13 kg;BAHIANA
N;PA;BELEM;CM COMERCIO DE COMBUSTIVEIS LTDA; 04.970.059/0001-63;AVENIDA SENADOR LEMOS;2053;;TELEGRAFO;66113-000;GLP;01/08/2022;105;;R$ / 13 kg;NACIONAL GÁS BUTANO
N;PA;BELEM;POSTO ANTUNES LTDA; 04.060.518/0001-71;TRAVESSA RUI BARBOSA;2083;;BATISTA CAMPOS;66035-220;GLP;01/08/2022;110;;R$ / 13 kg;NACIONAL GÁS BUTANO
NE;PE;PAULISTA;POSTO MARIA FARINHA LTDA; 00.626.575/0001-14;AVENIDA DOUTOR CLAUDIO JOSE GUEIROS LEITE;9064;;NOSSA SENHORA DO O;53429-000;GLP;01/08/2022;115;;R$ / 13 kg;BRANCA
NE;PE;PETROLINA;MARIA LEOCADIA DE SOUZA & CIA COMERCIO DE GLP LTDA; 06.034.782/0001-66;RUA RIO BEBERIBE;70;;JOSE E MARIA;56320-370;GLP;01/08/2022;110;;R$ / 13 kg;LIQUIGÁS
S;PR;PATO BRANCO;CAPELEZZO & CAPELEZZO LTDA; 75.634.808/0001-20;RUA GUARANI;912;;CENTRO;85501-050;GLP;01/08/2022;128;;R$ / 13 kg;ULTRAGAZ
N;RO;PORTO VELHO;JANETE N. C. ALVES; 00.820.119/0001-00;RUA JOSÉ VIEIRA CAULA;4712;;AGENOR DE CARVALHO;78909-490;GLP;01/08/2022;135;;R$ / 13 kg;FOGAS
S;RS;CAXIAS DO SUL;POSTO RAMAR - COMERCIO DE COMBUSTIVEIS LTDA.; 05.379.733/0001-00;AVENIDA SAO LEOPOLDO;940;;SAO LEOPOLDO;95097-350;GLP;01/08/2022;120;;R$ / 13 kg;SUPERGASBRAS ENERGIA
S;RS;CAXIAS DO SUL;BONETO & CAPELETTI LTDA; 87.824.827/0001-06;AVENIDA RIO BRANCO;1993;;RIO BRANCO;95096-000;GLP;01/08/2022;122;;R$ / 13 kg;LIQUIGÁS
S;RS;CAXIAS DO SUL;SQUIZZATO COMERCIO DE COMBUSTIVEIS LTDA; 00.547.721/0001-16;RUA ALEXANDRE RIZZO;877;;DESVIO RIZZO;95110-000;GLP;01/08/2022;119;;R$ / 13 kg;SUPERGASBRAS ENERGIA
S;RS;LAJEADO;ARCO-GAS COMERCIO E TRANSPORTE DE COMBUSTIVEIS LTDA.; 89.713.861/0005-54;AVENIDA BENJAMIN CONSTANT;2324;;FLORESTAL;95900-000;GLP;01/08/2022;103;;R$ / 13 kg;LIQUIGÁS
S;RS;LAJEADO;ARCO-GAS COMERCIO E TRANSPORTE DE COMBUSTIVEIS LTDA.; 89.713.861/0001-20;RODOVIA RS 130;S/N;KM 72,8;SANTO ANDRE;95900-000;GLP;01/08/2022;103;;R$ / 13 kg;LIQUIGÁS
S;RS;PASSO FUNDO;AUTO POSTO BR PASSO FUNDO LTDA; 03.043.457/0001-71;AVENIDA BRASIL LESTE;2336;;SAO JOSE;99052-830;GLP;01/08/2022;115;;R$ / 13 kg;LIQUIGÁS
S;RS;PELOTAS;IRMAOS CORTEZ LTDA; 92.193.200/0001-26;AVENIDA DUQUE DE CAXIAS;1152;;FRAGATA;96030-003;GLP;01/08/2022;108;;R$ / 13 kg;LIQUIGÁS
S;RS;URUGUAIANA;PILLON COMERCIO DE COMBUSTIVEIS LTDA; 74.108.226/0001-47;AVENIDA MARECHAL SETEMBRINO DE CARVALHO;1438;BLOCO A;IPIRANGA;97507-380;GLP;01/08/2022;109;;R$ / 13 kg;ULTRAGAZ
S;RS;VACARIA;POSTO DE COMBUSTIVEIS ULYSSE MARASCHIN LTDA; 01.978.708/0001-84;AVENIDA MILITAR;1744;;JARDIM AMERICA;95214-086;GLP;01/08/2022;100;;R$ / 13 kg;SUPERGASBRAS ENERGIA
